Page_ID,Module_ID,Module_Name,Page_Name,Page_Type,Page_Category,Feature_IDs,Description,User_Roles,Menu_Path,Estimated_Complexity
GL-P001,GL,General Ledger,Enterprise Configuration,Form,Setup,GL-001,Create and configure enterprise entity,System Administrator,Setup > Organization > Enterprise,Medium
GL-P002,GL,General Ledger,Legal Entities List,List,Setup,GL-002,Browse and search legal entities,System Administrator,Setup > Organization > Legal Entities,Low
GL-P003,GL,General Ledger,Legal Entity Form,Form,Setup,"GL-002,GL-003",Create/edit legal entity with all attributes,System Administrator,Setup > Organization > Legal Entities > New/Edit,Medium
GL-P004,GL,General Ledger,Business Units List,List,Setup,GL-004,Browse and search business units,System Administrator,Setup > Organization > Business Units,Low
GL-P005,GL,General Ledger,Business Unit Form,Form,Setup,"GL-004,GL-006",Create/edit business unit with attributes,System Administrator,Setup > Organization > Business Units > New/Edit,Medium
GL-P006,GL,General Ledger,Organization Hierarchy,Tree View,Setup,"GL-005,GL-007",Define and visualize org hierarchies,System Administrator,Setup > Organization > Hierarchies,High
GL-P007,GL,General Ledger,User-BU Assignment,Form,Setup,GL-008,Assign users to business units and modules,System Administrator,Setup > Organization > User Assignments,Medium
GL-P008,GL,General Ledger,Chart of Accounts List,List,Setup,GL-010,Browse available charts of accounts,GL Administrator,Setup > GL > Chart of Accounts,Low
GL-P009,GL,General Ledger,COA Designer,Designer,Setup,"GL-010,GL-011,GL-012,GL-013,GL-014",Visual COA designer with segments,GL Administrator,Setup > GL > COA Designer,High
GL-P010,GL,General Ledger,Value Sets List,List,Setup,GL-020,Browse and search value sets,GL Administrator,Setup > GL > Value Sets,Low
GL-P011,GL,General Ledger,Value Set Form,Form,Setup,"GL-020,GL-021,GL-022",Create/edit value set with validation,GL Administrator,Setup > GL > Value Sets > New/Edit,High
GL-P012,GL,General Ledger,Value Set Values,Grid,Setup,"GL-023,GL-024,GL-025",Maintain values within value set,GL Administrator,Setup > GL > Value Sets > Values,Medium
GL-P013,GL,General Ledger,Ledgers List,List,Setup,GL-030,Browse general ledgers,GL Administrator,Setup > GL > Ledgers,Low
GL-P014,GL,General Ledger,Ledger Form,Form,Setup,"GL-030,GL-031,GL-032",Create/edit ledger configuration,GL Administrator,Setup > GL > Ledgers > New/Edit,High
GL-P015,GL,General Ledger,Accounting Calendars List,List,Setup,GL-040,Browse accounting calendars,GL Administrator,Setup > GL > Calendars,Low
GL-P016,GL,General Ledger,Calendar Form,Form,Setup,"GL-040,GL-041,GL-042,GL-043",Create/edit calendar with periods,GL Administrator,Setup > GL > Calendars > New/Edit,Medium
GL-P017,GL,General Ledger,Period Management,Grid,Operations,"GL-044,GL-045,GL-046",Open/close accounting periods,GL Manager,GL > Period Management,Medium
GL-P018,GL,General Ledger,Currencies List,List,Setup,GL-060,Browse and search currencies,GL Administrator,Setup > GL > Currencies,Low
GL-P019,GL,General Ledger,Currency Form,Form,Setup,"GL-060,GL-061,GL-062,GL-063",Create/edit currency with precision,GL Administrator,Setup > GL > Currencies > New/Edit,Low
GL-P020,GL,General Ledger,Exchange Rates,Grid,Setup,"GL-070,GL-071,GL-072,GL-073,GL-074",Maintain daily exchange rates,GL Accountant,Setup > GL > Exchange Rates,Medium
GL-P021,GL,General Ledger,Journal Entry,Form,Transactions,"GL-080,GL-081,GL-082,GL-083,GL-084,GL-085,GL-086,GL-087",Create manual journal entries,GL Accountant,GL > Journals > New Entry,High
GL-P022,GL,General Ledger,Journals List,List,Transactions,GL-080,Browse and search journal entries,GL Accountant,GL > Journals,Medium
GL-P023,GL,General Ledger,Journal Approval,Workflow,Transactions,"GL-090,GL-091,GL-092",Review and approve journals,GL Manager,GL > Journals > Approvals,Medium
GL-P024,GL,General Ledger,Journal Posting,Process,Transactions,"GL-100,GL-101,GL-102,GL-103",Post journals to GL,GL Accountant,GL > Journals > Post,Medium
GL-P025,GL,General Ledger,Recurring Journals,List,Transactions,"GL-110,GL-111,GL-112,GL-113",Manage recurring journal templates,GL Accountant,GL > Journals > Recurring,Medium
GL-P026,GL,General Ledger,Budget Entry,Form,Budgets,"GL-120,GL-121,GL-122,GL-123",Create and edit budgets,Budget Analyst,GL > Budgets > Entry,High
GL-P027,GL,General Ledger,Budgets List,List,Budgets,GL-120,Browse budget versions,Budget Analyst,GL > Budgets,Low
GL-P028,GL,General Ledger,Budget Upload,Upload,Budgets,GL-124,Import budgets from spreadsheet,Budget Analyst,GL > Budgets > Upload,Medium
GL-P029,GL,General Ledger,Budget Inquiry,Report,Inquiry,"GL-125,GL-126",Query budget vs actual,Budget Analyst,GL > Budgets > Inquiry,Medium
GL-P030,GL,General Ledger,Account Inquiry,Report,Inquiry,"GL-130,GL-131,GL-132,GL-133",Drill-down account balances,GL Accountant,GL > Inquiry > Accounts,High
GL-P031,GL,General Ledger,Trial Balance,Report,Reports,GL-140,View/export trial balance,GL Accountant,GL > Reports > Trial Balance,Medium
