Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
LCM-001,Landed Cost,Setup,Cost Elements,Define landed cost elements (freight duty insurance fees),Critical,Medium,Not Started,CM-020,5,,,Yes,,Define standard landed cost elements with GL mapping
LCM-002,Landed Cost,Setup,Allocation Rules,Define rules for allocating landed costs to receipts,Critical,High,Not Started,LCM-001,7,,,Yes,,Create allocation rules with multiple bases and methods
LCM-010,Landed Cost,Freight,Charge Capture,Capture freight charges from carriers,Critical,Medium,Not Started,PO-001,6,,,Yes,,Record freight charges by shipment with carrier details
LCM-011,Landed Cost,Freight,Rate Management,Maintain freight rates and calculate estimates,High,High,Not Started,LCM-010,8,,,Yes,,Create carrier rate tables with automatic calculation
LCM-012,Landed Cost,Freight,Freight Audit,Audit freight invoices against expected charges,High,Medium,Not Started,LCM-011,7,,,Yes,,Compare actual vs estimated freight and flag variances
LCM-020,Landed Cost,Duty Customs,HTS Classification,Maintain Harmonized Tariff Schedule codes,Critical,Medium,Not Started,INV-001,6,,,Yes,,Assign and maintain HTS codes for imported items
LCM-021,Landed Cost,Duty Customs,Duty Calculation,Calculate import duties based on customs value,Critical,High,Not Started,LCM-020,9,,,Yes,,Calculate ad valorem specific and compound duties
LCM-022,Landed Cost,Duty Customs,Customs Valuation,Determine customs value per WTO methods,Critical,High,Not Started,LCM-021,10,,,No,,Calculate transaction value with required adjustments
LCM-023,Landed Cost,Duty Customs,Free Trade Agreements,Manage FTA programs for duty reduction,High,High,Not Started,LCM-020,10,,,Yes,,Support multiple FTAs with origin verification
LCM-030,Landed Cost,Other Costs,Insurance Costs,Track and allocate insurance costs,High,Medium,Not Started,LCM-001,5,,,Yes,,Capture and allocate cargo insurance to shipments
LCM-031,Landed Cost,Other Costs,Brokerage Fees,Manage customs brokerage and clearance fees,High,Medium,Not Started,LCM-020,6,,,Yes,,Track broker fees and link to customs entries
LCM-032,Landed Cost,Other Costs,Handling Storage,Track warehouse handling and storage charges,Medium,Medium,Not Started,LCM-001,5,,,Yes,,Capture container handling demurrage and storage costs
LCM-040,Landed Cost,Processing,Cost Accruals,Accrue estimated landed costs at receipt,Critical,High,Not Started,PO-140,8,,,Yes,,Accrue landed costs before actual invoices received
LCM-041,Landed Cost,Processing,Cost Allocation,Allocate landed costs to PO lines and receipts,Critical,High,Not Started,LCM-002,10,,,Yes,,Apply allocation rules and update inventory costs
LCM-042,Landed Cost,Processing,Cost Variances,Track variances between estimated and actual,High,Medium,Not Started,LCM-040,6,,,Yes,,Calculate and post landed cost variances
LCM-050,Landed Cost,Shipment,Shipment Management,Track shipments from origin to destination,High,Medium,Not Started,PO-001,7,,,Yes,,Create and track shipments with all costs
LCM-051,Landed Cost,Shipment,In-Transit Tracking,Track goods in-transit inventory,High,Medium,Not Started,LCM-050,7,,,Yes,,Provide visibility to in-transit inventory
