Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
GL-001,General Ledger,Organization Structure,Enterprise Setup,Create and configure enterprise entity with unique identifier and base currency,Critical,Low,Not Started,,3,,Not Started,Not Started,Yes,Foundation for all org structure,Enterprise can be created with name and base currency
GL-002,General Ledger,Organization Structure,Legal Entity Setup,Create legal entities with registration details and tax information,Critical,Medium,Not Started,GL-001,5,,Not Started,Not Started,Yes,Required for multi-entity operations,Legal entity can be created with all registration details
GL-003,General Ledger,Organization Structure,Legal Entity Attributes,Maintain legal entity attributes (name type address tax ID registration),Critical,Low,Not Started,GL-002,3,,Not Started,Not Started,Yes,Complete legal entity information,All legal entity fields can be maintained
GL-004,General Ledger,Organization Structure,Business Unit Setup,Create business units with COA calendar and currency assignments,Critical,Medium,Not Started,GL-020 GL-040 GL-060,5,,Not Started,Not Started,Yes,Core organizational unit,Business unit can be created with all required associations
GL-005,General Ledger,Organization Structure,Business Unit Hierarchy,Define parent-child relationships between business units,High,Medium,Not Started,GL-004,4,,Not Started,Not Started,Yes,Supports org reporting structure,Hierarchical relationships can be established
GL-006,General Ledger,Organization Structure,Business Unit Attributes,Maintain BU attributes (manager location cost center designation),Medium,Low,Not Started,GL-004,2,,Not Started,Not Started,Yes,Additional BU information,BU attributes can be updated
GL-007,General Ledger,Organization Structure,Organization Hierarchy,Create and maintain multiple organizational hierarchies,Medium,High,Not Started,GL-004,6,,Not Started,Not Started,Yes,Flexible reporting structures,Multiple hierarchies can be defined
GL-008,General Ledger,Organization Structure,User Assignment,Assign users to business units and modules,Critical,Medium,Not Started,GL-004,4,,Not Started,Not Started,Yes,User access control,Users can be linked to BU and modules
GL-010,General Ledger,Chart of Accounts,COA Definition,Define chart of accounts structure and naming,Critical,Medium,Not Started,,4,,Not Started,Not Started,Yes,Foundation of GL accounting,COA can be created with unique identifier
GL-011,General Ledger,Chart of Accounts,Segment Definition,Create and configure accounting segments,Critical,High,Not Started,GL-010,8,,Not Started,Not Started,Yes,Flexible account structure,Segments can be defined with properties
GL-012,General Ledger,Chart of Accounts,Segment Types,Define segment types (Company Cost Center Account Product Project IC Location),Critical,Medium,Not Started,GL-011,5,,Not Started,Not Started,Yes,Categorize segments by purpose,Segment types can be assigned
GL-013,General Ledger,Chart of Accounts,Segment Ordering,Define segment order and separators in account combination,High,Low,Not Started,GL-011,2,,Not Started,Not Started,Yes,Account display format,Segments can be arranged in order
GL-014,General Ledger,Chart of Accounts,Segment Qualifiers,Assign qualifiers to segments (balancing natural account IC),High,Medium,Not Started,GL-011,3,,Not Started,Not Started,Yes,Segment special properties,Qualifiers can be set on segments
GL-020,General Ledger,Chart of Accounts,Value Set Creation,Create value sets with validation types,Critical,High,Not Started,GL-011,6,,Not Started,Not Started,Yes,Store segment values,Value sets can be created
GL-021,General Ledger,Chart of Accounts,Value Set Types,Support independent dependent table-validated special pair value sets,High,High,Not Started,GL-020,7,,Not Started,Not Started,Yes,Flexible value validation,All value set types supported
GL-022,General Ledger,Chart of Accounts,Value Set Validation,Define validation rules format and length constraints,High,Medium,Not Started,GL-020,4,,Not Started,Not Started,Yes,Data quality control,Validation rules enforced
GL-023,General Ledger,Chart of Accounts,Value Set Values,Maintain values within value sets,Critical,Medium,Not Started,GL-020,5,,Not Started,Not Started,Yes,Actual segment values,Values can be added/edited/disabled
GL-024,General Ledger,Chart of Accounts,Value Set Hierarchy,Create parent-child relationships within value sets,Medium,Medium,Not Started,GL-023,4,,Not Started,Not Started,Yes,Value rollup and grouping,Hierarchies can be defined
GL-025,General Ledger,Chart of Accounts,Dependent Value Sets,Implement dependent value sets based on parent segment,High,High,Not Started,GL-021,6,,Not Started,Not Started,Yes,Context-sensitive values,Values filter based on parent
GL-030,General Ledger,Chart of Accounts,Account Type Assignment,Assign account types to account segment values,Critical,Medium,Not Started,GL-023,4,,Not Started,Not Started,Yes,Financial statement classification,Account types can be assigned
GL-031,General Ledger,Chart of Accounts,Account Types,Support Assets Liabilities Equity Revenue Expense account types,Critical,Low,Not Started,GL-030,3,,Not Started,Not Started,Yes,Standard account classifications,All account types available
GL-032,General Ledger,Chart of Accounts,Account Sub-types,Define account sub-types (Current Assets Fixed Assets COGS Operating Expense),High,Medium,Not Started,GL-031,4,,Not Started,Not Started,Yes,Detailed classification,Sub-types can be configured
GL-033,General Ledger,Chart of Accounts,Natural Balance,Define debit/credit natural balance by account type,High,Low,Not Started,GL-031,2,,Not Started,Not Started,Yes,Balance validation,Natural balance enforced
GL-034,General Ledger,Chart of Accounts,Retained Earnings Account,Configure retained earnings account for year-end close,Critical,Medium,Not Started,GL-031,3,,Not Started,Not Started,Yes,Year-end processing,RE account designated
GL-040,General Ledger,Chart of Accounts,Account Combinations,Generate and maintain valid account combinations,Critical,High,Not Started,GL-023,8,,Not Started,Not Started,Yes,Complete GL accounts,Account combinations created
GL-041,General Ledger,Chart of Accounts,Dynamic Combination,Allow dynamic generation of account combinations,High,High,Not Started,GL-040,6,,Not Started,Not Started,Yes,Flexible account creation,New combinations auto-generated
GL-042,General Ledger,Chart of Accounts,Cross Validation Rules,Define allowed/disallowed segment value combinations,High,High,Not Started,GL-040,7,,Not Started,Not Started,Yes,Account combination control,CVR enforced
GL-043,General Ledger,Chart of Accounts,Account Combination Approval,Workflow for approving new account combinations,Medium,Medium,Not Started,GL-040,5,,Not Started,Not Started,Yes,Controlled account creation,Approval workflow functional
GL-044,General Ledger,Chart of Accounts,Account Aliases,Maintain descriptions and aliases for account combinations,Medium,Low,Not Started,GL-040,3,,Not Started,Not Started,Yes,User-friendly account names,Aliases can be set
GL-045,General Ledger,Chart of Accounts,Account Activation,Enable/disable account combinations with date ranges,High,Medium,Not Started,GL-040,4,,Not Started,Not Started,Yes,Account lifecycle management,Accounts can be enabled/disabled
GL-046,General Ledger,Chart of Accounts,Mass Account Generation,Bulk create account combinations based on rules,Medium,High,Not Started,GL-040,6,,Not Started,Not Started,Yes,Efficient account setup,Mass generation successful
GL-050,General Ledger,Chart of Accounts,Account Hierarchies,Create and maintain account hierarchies for reporting,High,High,Not Started,GL-040,7,,Not Started,Not Started,Yes,Rollup reporting,Hierarchies functional
GL-051,General Ledger,Chart of Accounts,Parent-Child Accounts,Define parent-child relationships for account rollup,High,Medium,Not Started,GL-050,5,,Not Started,Not Started,Yes,Account aggregation,Relationships established
GL-052,General Ledger,Chart of Accounts,Summary Accounts,Configure summary accounts for rollup balances,Medium,Medium,Not Started,GL-051,4,,Not Started,Not Started,Yes,Consolidated balances,Summary accounts work
GL-053,General Ledger,Chart of Accounts,Multiple Hierarchies,Support multiple account hierarchies for different purposes,Medium,High,Not Started,GL-050,6,,Not Started,Not Started,Yes,Flexible reporting views,Multiple hierarchies supported
GL-060,General Ledger,Calendar Management,Calendar Creation,Create fiscal and calendar year calendars,Critical,Medium,Not Started,,5,,Not Started,Not Started,Yes,Accounting period foundation,Calendars can be created
GL-061,General Ledger,Calendar Management,Fiscal Calendar,Configure fiscal calendar with custom year start,Critical,Medium,Not Started,GL-060,4,,Not Started,Not Started,Yes,Custom fiscal periods,Fiscal calendar configurable
GL-062,General Ledger,Calendar Management,Calendar Year,Configure standard January-December calendar,High,Low,Not Started,GL-060,2,,Not Started,Not Started,Yes,Standard calendar support,Calendar year available
GL-063,General Ledger,Calendar Management,Period Configuration,Define periods with start/end dates names and numbers,Critical,Medium,Not Started,GL-060,5,,Not Started,Not Started,Yes,Accounting periods setup,Periods configured
GL-064,General Ledger,Calendar Management,13-Period Calendar,Support 13-period accounting calendar,Medium,Medium,Not Started,GL-061,4,,Not Started,Not Started,Yes,Extended period calendar,13 periods supported
GL-065,General Ledger,Calendar Management,4-4-5 Calendar,Support 4-4-5 or 5-4-4 period patterns,Medium,High,Not Started,GL-061,6,,Not Started,Not Started,Yes,Retail calendar patterns,Pattern calendars work
GL-066,General Ledger,Calendar Management,Adjustment Periods,Configure adjustment periods for year-end,Critical,Medium,Not Started,GL-063,4,,Not Started,Not Started,Yes,Year-end adjustments,Adjustment periods available
GL-067,General Ledger,Calendar Management,Future Period Generation,Automatically generate future calendar periods,Medium,Medium,Not Started,GL-060,4,,Not Started,Not Started,Yes,Calendar maintenance,Future periods generated
GL-070,General Ledger,Calendar Management,Period Status Management,Manage period status (Never Opened Open Closed Permanently Closed),Critical,High,Not Started,GL-063,6,,Not Started,Not Started,Yes,Period control,Status changes enforced
