Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
INV-001,Inventory,Item Master,Item Creation,Create and maintain inventory item master,Critical,Medium,Not Started,PO-001,5,,Not Started,Not Started,Yes,Foundation for inventory,Items can be created
INV-002,Inventory,Item Master,Item Types,Support item types (Raw Material WIP Finished Goods),High,Low,Not Started,INV-001,3,,Not Started,Not Started,Yes,Item categorization,Types supported
INV-003,Inventory,Item Master,Item Status,Active Inactive Obsolete status management,High,Low,Not Started,INV-001,3,,Not Started,Not Started,Yes,Item lifecycle,Status changes work
INV-004,Inventory,Item Master,UOM Management,Unit of measure and conversions,Critical,Medium,Not Started,INV-001,5,,Not Started,Not Started,Yes,Quantity management,UOM functional
INV-005,Inventory,Item Master,Lot Control Flag,Enable lot control per item,High,Low,Not Started,INV-001,2,,Not Started,Not Started,Yes,Lot tracking,Flag set
INV-006,Inventory,Item Master,Serial Control Flag,Enable serial control per item,High,Low,Not Started,INV-001,2,,Not Started,Not Started,Yes,Serial tracking,Flag set
INV-007,Inventory,Item Master,ABC Classification,Assign ABC class to items,Medium,Low,Not Started,INV-001,3,,Not Started,Not Started,Yes,Item prioritization,Classification assigned
INV-008,Inventory,Item Master,Shelf Life,Define shelf life for items,Medium,Low,Not Started,INV-001,3,,Not Started,Not Started,Yes,Expiration tracking,Shelf life set
INV-010,Inventory,Item Planning,Safety Stock,Define safety stock levels,High,Low,Not Started,INV-001,3,,Not Started,Not Started,Yes,Stock planning,Safety stock set
INV-011,Inventory,Item Planning,Reorder Point,Set reorder point for replenishment,High,Medium,Not Started,INV-001,4,,Not Started,Not Started,Yes,Auto replenishment,Reorder point works
INV-012,Inventory,Item Planning,Min-Max Levels,Define minimum and maximum stock levels,High,Medium,Not Started,INV-001,4,,Not Started,Not Started,Yes,Stock planning,Min-Max set
INV-013,Inventory,Item Planning,Lead Time,Procurement and manufacturing lead times,High,Low,Not Started,INV-001,3,,Not Started,Not Started,Yes,Planning data,Lead times set
INV-014,Inventory,Item Planning,EOQ Calculation,Economic order quantity calculation,Medium,Medium,Not Started,INV-001,5,,Not Started,Not Started,Yes,Order optimization,EOQ calculated
INV-020,Inventory,Item Costing,Standard Cost,Maintain standard cost per item,Critical,Medium,Not Started,INV-001,5,,Not Started,Not Started,Yes,Inventory valuation,Standard cost set
INV-021,Inventory,Item Costing,Average Cost,Calculate moving average cost,Critical,High,Not Started,INV-001,7,,Not Started,Not Started,Yes,Valuation method,Average cost works
INV-022,Inventory,Item Costing,Cost Elements,Material Labor Overhead cost elements,Medium,Medium,Not Started,INV-020,5,,Not Started,Not Started,Yes,Cost breakdown,Elements tracked
INV-023,Inventory,Item Costing,Cost Update,Update standard costs with approval,High,High,Not Started,INV-020,7,,Not Started,Not Started,Yes,Cost management,Updates work
INV-030,Inventory,Warehouse,Warehouse Setup,Create and configure warehouses,Critical,Medium,Not Started,GL-004,5,,Not Started,Not Started,Yes,Inventory locations,Warehouses created
INV-031,Inventory,Warehouse,Warehouse Types,Distribution Center Store Plant types,Medium,Low,Not Started,INV-030,3,,Not Started,Not Started,Yes,Warehouse categorization,Types supported
INV-032,Inventory,Warehouse,Default Accounts,Inventory COGS Variance accounts,Critical,Medium,Not Started,INV-030 GL-040,5,,Not Started,Not Started,Yes,GL integration,Accounts assigned
INV-033,Inventory,Warehouse,Business Unit Assignment,Assign warehouse to business unit,High,Low,Not Started,INV-030 GL-004,3,,Not Started,Not Started,Yes,Organization structure,BU assignment works
INV-040,Inventory,Locations,Location Setup,Define storage locations within warehouse,High,Medium,Not Started,INV-030,6,,Not Started,Not Started,Yes,Warehouse organization,Locations created
INV-041,Inventory,Locations,Location Types,Storage Receiving Shipping Inspection types,High,Low,Not Started,INV-040,3,,Not Started,Not Started,Yes,Location categorization,Types supported
INV-042,Inventory,Locations,Location Capacity,Define location capacity and dimensions,Medium,Low,Not Started,INV-040,4,,Not Started,Not Started,Yes,Space management,Capacity tracked
INV-043,Inventory,Locations,ABC Zones,Assign locations to ABC zones,Medium,Low,Not Started,INV-040,3,,Not Started,Not Started,Yes,Pick optimization,Zones assigned
INV-044,Inventory,Locations,Pick Sequence,Define pick sequence for locations,Medium,Low,Not Started,INV-040,3,,Not Started,Not Started,Yes,Picking efficiency,Sequence set
INV-050,Inventory,Subinventories,Subinventory Setup,Create subinventories within warehouse,High,Medium,Not Started,INV-030,5,,Not Started,Not Started,Yes,Inventory segregation,Subinventories created
INV-051,Inventory,Subinventories,Asset vs Expense,Designate asset or expense subinventory,Critical,Low,Not Started,INV-050,3,,Not Started,Not Started,Yes,Accounting treatment,Classification set
INV-052,Inventory,Subinventories,Nettable Flag,Include in available quantity calculation,High,Low,Not Started,INV-050,2,,Not Started,Not Started,Yes,Availability calc,Flag enforced
INV-053,Inventory,Subinventories,Tracking Flags,Lot Serial tracking per subinventory,Medium,Low,Not Started,INV-050,3,,Not Started,Not Started,Yes,Subinv control,Tracking flags set
INV-060,Inventory,Transactions,Receipt Transaction,Record inventory receipts,Critical,High,Not Started,INV-001 PO-120,8,,Not Started,Not Started,Yes,Inventory inbound,Receipts processed
INV-061,Inventory,Transactions,Issue Transaction,Record inventory issues,Critical,High,Not Started,INV-001,8,,Not Started,Not Started,Yes,Inventory outbound,Issues processed
INV-062,Inventory,Transactions,Transfer Transaction,Record inventory transfers,High,High,Not Started,INV-001,7,,Not Started,Not Started,Yes,Stock movement,Transfers processed
INV-063,Inventory,Transactions,Adjustment Transaction,Record inventory adjustments,High,Medium,Not Started,INV-001,6,,Not Started,Not Started,Yes,Inventory corrections,Adjustments processed
INV-064,Inventory,Transactions,Transaction Number,Auto-generate transaction numbers,High,Low,Not Started,INV-060,3,,Not Started,Not Started,Yes,Transaction tracking,Numbering works
INV-065,Inventory,Transactions,Transaction Date,Capture transaction date and time,Critical,Low,Not Started,INV-060,2,,Not Started,Not Started,Yes,Transaction tracking,Date captured
