Table_ID,Module_ID,Module_Name,Table_Name,Table_Description,Primary_Key,Key_Columns,Indexes,Foreign_Keys,Estimated_Rows,Audit_Trail,Comments
GL-T001,GL,General Ledger,GL_LEDGERS,Ledger master configuration,LEDGER_ID,"LEDGER_ID, LEDGER_NAME, CURRENCY_CODE, COA_ID","IDX_GL_LEDGERS_NAME, IDX_GL_LEDGERS_CURRENCY","COA_ID->GL_CHART_OF_ACCOUNTS(COA_ID)",100,Yes,One record per legal entity or management ledger
GL-T002,GL,General Ledger,GL_CHART_OF_ACCOUNTS,Chart of accounts master,COA_ID,"COA_ID, COA_NAME, STRUCTURE_TYPE",IDX_GL_COA_NAME,None,50,Yes,Defines account structure
GL-T003,GL,General Ledger,GL_ACCOUNTS,Account master data,ACCOUNT_ID,"ACCOUNT_ID, COA_ID, ACCOUNT_CODE, ACCOUNT_NAME, ACCOUNT_TYPE","IDX_GL_ACCOUNTS_CODE, IDX_GL_ACCOUNTS_TYPE","COA_ID->GL_CHART_OF_ACCOUNTS(COA_ID)",50000,Yes,Individual GL accounts
GL-T004,GL,General Ledger,GL_ACCOUNT_HIERARCHIES,Account hierarchies and rollups,HIERARCHY_ID,"HIERARCHY_ID, PARENT_ACCOUNT_ID, CHILD_ACCOUNT_ID","IDX_GL_HIER_PARENT, IDX_GL_HIER_CHILD","PARENT_ACCOUNT_ID->GL_ACCOUNTS(ACCOUNT_ID), CHILD_ACCOUNT_ID->GL_ACCOUNTS(ACCOUNT_ID)",100000,Yes,Parent-child account relationships
GL-T005,GL,General Ledger,GL_PERIODS,Accounting periods,PERIOD_ID,"PERIOD_ID, LEDGER_ID, PERIOD_NAME, START_DATE, END_DATE, STATUS","IDX_GL_PERIODS_LEDGER, IDX_GL_PERIODS_STATUS","LEDGER_ID->GL_LEDGERS(LEDGER_ID)",1200,Yes,Monthly/quarterly periods per ledger
GL-T006,GL,General Ledger,GL_CALENDARS,Accounting calendars,CALENDAR_ID,"CALENDAR_ID, CALENDAR_NAME, CALENDAR_TYPE",IDX_GL_CALENDARS_NAME,None,50,Yes,Fiscal calendar definitions
GL-T007,GL,General Ledger,GL_JOURNALS,Journal headers,JOURNAL_ID,"JOURNAL_ID, LEDGER_ID, JOURNAL_NAME, PERIOD_ID, STATUS, SOURCE","IDX_GL_JOURNALS_PERIOD, IDX_GL_JOURNALS_STATUS, IDX_GL_JOURNALS_SOURCE","LEDGER_ID->GL_LEDGERS(LEDGER_ID), PERIOD_ID->GL_PERIODS(PERIOD_ID)",10000000,Yes,Journal batch headers
GL-T008,GL,General Ledger,GL_JOURNAL_LINES,Journal line details,JOURNAL_LINE_ID,"JOURNAL_LINE_ID, JOURNAL_ID, ACCOUNT_ID, DEBIT, CREDIT","IDX_GL_JLINES_JOURNAL, IDX_GL_JLINES_ACCOUNT","JOURNAL_ID->GL_JOURNALS(JOURNAL_ID), ACCOUNT_ID->GL_ACCOUNTS(ACCOUNT_ID)",50000000,Yes,Individual journal entries
GL-T009,GL,General Ledger,GL_BALANCES,Account balances,BALANCE_ID,"BALANCE_ID, LEDGER_ID, ACCOUNT_ID, PERIOD_ID, BALANCE_TYPE, AMOUNT","IDX_GL_BAL_ACCOUNT, IDX_GL_BAL_PERIOD","ACCOUNT_ID->GL_ACCOUNTS(ACCOUNT_ID), PERIOD_ID->GL_PERIODS(PERIOD_ID)",5000000,No,Period-end balances
GL-T010,GL,General Ledger,GL_CURRENCIES,Currency master,CURRENCY_CODE,"CURRENCY_CODE, CURRENCY_NAME, PRECISION","IDX_GL_CURRENCIES_NAME",None,200,Yes,ISO currency codes
GL-T011,GL,General Ledger,GL_EXCHANGE_RATES,Currency exchange rates,RATE_ID,"RATE_ID, FROM_CURRENCY, TO_CURRENCY, RATE_DATE, RATE_TYPE, CONVERSION_RATE","IDX_GL_RATES_DATE, IDX_GL_RATES_CURR",None,100000,Yes,Daily exchange rates
