Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
PO-001,Purchasing,Item Master,Item Creation,Create and maintain item master records,Critical,Medium,Not Started,,5,,Not Started,Not Started,Yes,Foundation for procurement,Items can be created
PO-002,Purchasing,Item Master,Item Types,Support different item types (Materials Services Assets),High,Low,Not Started,PO-001,3,,Not Started,Not Started,Yes,Item categorization,Types supported
PO-003,Purchasing,Item Master,Item Categories,Hierarchical item categorization,High,Medium,Not Started,PO-001,5,,Not Started,Not Started,Yes,Item organization,Categories work
PO-004,Purchasing,Item Master,UOM Management,Unit of measure setup and conversion,Critical,Medium,Not Started,PO-001,5,,Not Started,Not Started,Yes,Quantity management,UOM functional
PO-005,Purchasing,Item Master,Item Status,Active Inactive Obsolete status management,High,Low,Not Started,PO-001,3,,Not Started,Not Started,Yes,Item lifecycle,Status changes work
PO-006,Purchasing,Item Master,Make Buy Indicator,Designate items as make or buy,Medium,Low,Not Started,PO-001,2,,Not Started,Not Started,Yes,Planning indicator,Indicator set
PO-007,Purchasing,Item Master,Purchasable Flag,Control which items can be purchased,High,Low,Not Started,PO-001,2,,Not Started,Not Started,Yes,Purchase control,Flag enforced
PO-010,Purchasing,Item Suppliers,Item Supplier Assignment,Assign approved suppliers to items,High,Medium,Not Started,PO-001 AP-001,5,,Not Started,Not Started,Yes,Supplier relationships,Assignment works
PO-011,Purchasing,Item Suppliers,Preferred Supplier,Designate preferred supplier per item,High,Low,Not Started,PO-010,3,,Not Started,Not Started,Yes,Default supplier,Preference works
PO-012,Purchasing,Item Suppliers,Supplier Part Number,Maintain supplier part numbers,Medium,Low,Not Started,PO-010,3,,Not Started,Not Started,Yes,Cross-reference,Part numbers stored
PO-013,Purchasing,Item Suppliers,Lead Time,Define supplier lead times per item,High,Low,Not Started,PO-010,3,,Not Started,Not Started,Yes,Planning data,Lead times maintained
PO-014,Purchasing,Item Suppliers,MOQ and Multiples,Minimum order quantity and order multiples,Medium,Low,Not Started,PO-010,3,,Not Started,Not Started,Yes,Order constraints,MOQ enforced
PO-015,Purchasing,Item Suppliers,Supplier Ranking,Rank suppliers by performance,Medium,Medium,Not Started,PO-010,4,,Not Started,Not Started,Yes,Supplier selection,Rankings work
PO-020,Purchasing,Item Pricing,Item Price Maintenance,Maintain item pricing by supplier,High,Medium,Not Started,PO-010,5,,Not Started,Not Started,Yes,Cost management,Pricing maintained
PO-021,Purchasing,Item Pricing,Price Breaks,Quantity-based price breaks,Medium,Medium,Not Started,PO-020,5,,Not Started,Not Started,Yes,Volume discounts,Price breaks work
PO-022,Purchasing,Item Pricing,Contract Pricing,Maintain contract-based pricing,Medium,Medium,Not Started,PO-020,5,,Not Started,Not Started,Yes,Agreement pricing,Contract prices work
PO-023,Purchasing,Item Pricing,Price History,Track price history over time,Medium,Low,Not Started,PO-020,4,,Not Started,Not Started,Yes,Price trending,History tracked
PO-030,Purchasing,Requisitions,Requisition Creation,Create purchase requisitions,Critical,High,Not Started,UR-001,8,,Not Started,Not Started,Yes,Core procurement,Requisitions created
PO-031,Purchasing,Requisitions,Requisition Header,Requisition number date requester need-by,Critical,Medium,Not Started,PO-030,5,,Not Started,Not Started,Yes,Requisition identification,Header captured
PO-032,Purchasing,Requisitions,Requisition Lines,Multiple line items per requisition,Critical,High,Not Started,PO-030,7,,Not Started,Not Started,Yes,Line detail,Lines can be entered
PO-033,Purchasing,Requisitions,Requisition Types,Purchase Transfer requisition types,Medium,Low,Not Started,PO-030,3,,Not Started,Not Started,Yes,Type categorization,Types supported
PO-034,Purchasing,Requisitions,Account Distribution,GL account coding for requisitions,Critical,High,Not Started,PO-032 GL-040,7,,Not Started,Not Started,Yes,GL integration,Distributions work
PO-035,Purchasing,Requisitions,Catalog Requisitioning,Requisition from supplier catalogs,High,High,Not Started,PO-030,8,,Not Started,Not Started,Yes,Ease of use,Catalog requisition works
PO-036,Purchasing,Requisitions,Copy Requisition,Copy from previous requisitions,Medium,Low,Not Started,PO-030,4,,Not Started,Not Started,Yes,Efficiency,Copy functional
PO-037,Purchasing,Requisitions,Requisition Import,Import requisitions from file,Medium,High,Not Started,PO-030,7,,Not Started,Not Started,Yes,Bulk processing,Import works
PO-040,Purchasing,Requisition Approval,Approval Workflow,Multi-level requisition approval,Critical,High,Not Started,PO-030 UR-170,9,,Not Started,Not Started,Yes,Procurement control,Workflow functional
PO-041,Purchasing,Requisition Approval,Amount-Based Routing,Route by requisition amount,High,Medium,Not Started,PO-040,6,,Not Started,Not Started,Yes,Approval efficiency,Routing works
PO-042,Purchasing,Requisition Approval,Department Approval,Department budget owner approval,High,Medium,Not Started,PO-040,6,,Not Started,Not Started,Yes,Budget control,Department approval works
PO-043,Purchasing,Requisition Approval,Manager Hierarchy,Manager hierarchy approval,High,Medium,Not Started,PO-040,6,,Not Started,Not Started,Yes,Org approval,Hierarchy works
PO-044,Purchasing,Requisition Approval,Category Approval,Approval routing by item category,Medium,Medium,Not Started,PO-040,5,,Not Started,Not Started,Yes,Category control,Category routing works
PO-045,Purchasing,Requisition Approval,Approval Delegation,Delegate approval authority,Medium,Medium,Not Started,PO-040 UR-120,5,,Not Started,Not Started,Yes,Workflow continuity,Delegation works
PO-050,Purchasing,Purchase Orders,PO Creation,Create purchase orders,Critical,High,Not Started,PO-030 AP-001,9,,Not Started,Not Started,Yes,Core procurement,POs created
PO-051,Purchasing,Purchase Orders,PO from Requisition,Convert requisition to PO,Critical,High,Not Started,PO-050,8,,Not Started,Not Started,Yes,Requisition fulfillment,Conversion works
PO-052,Purchasing,Purchase Orders,Manual PO Entry,Direct PO creation without requisition,High,High,Not Started,PO-050,8,,Not Started,Not Started,Yes,Direct procurement,Manual PO works
PO-053,Purchasing,Purchase Orders,PO Header,PO number type date supplier buyer,Critical,Medium,Not Started,PO-050,5,,Not Started,Not Started,Yes,PO identification,Header captured
PO-054,Purchasing,Purchase Orders,PO Lines,Multiple line items per PO,Critical,High,Not Started,PO-050,8,,Not Started,Not Started,Yes,Line detail,Lines can be entered
PO-055,Purchasing,Purchase Orders,PO Types,Standard Blanket Contract Planned PO types,High,Medium,Not Started,PO-050,5,,Not Started,Not Started,Yes,PO categorization,Types supported
PO-056,Purchasing,Purchase Orders,Multi-Currency PO,Foreign currency purchase orders,High,High,Not Started,PO-050 GL-091,7,,Not Started,Not Started,Yes,Global procurement,Multi-currency works
PO-057,Purchasing,Purchase Orders,Copy PO,Copy from existing POs,Medium,Low,Not Started,PO-050,4,,Not Started,Not Started,Yes,Efficiency,Copy functional
PO-060,Purchasing,PO Pricing,Price Negotiation,Update negotiated prices on PO,High,Medium,Not Started,PO-050,5,,Not Started,Not Started,Yes,Price management,Negotiation works
PO-061,Purchasing,PO Pricing,Tax Calculation,Automatic tax calculation on PO,High,High,Not Started,PO-050,7,,Not Started,Not Started,Yes,Tax compliance,Tax calc works
PO-062,Purchasing,PO Pricing,Freight Charges,Freight and handling charges,Medium,Low,Not Started,PO-050,4,,Not Started,Not Started,Yes,Total cost,Freight captured
PO-063,Purchasing,PO Pricing,Discount Terms,Early payment discount terms,Medium,Medium,Not Started,PO-050,4,,Not Started,Not Started,Yes,Cost savings,Discounts work
PO-064,Purchasing,PO Pricing,Price Tolerance,Price variance tolerance checking,High,Medium,Not Started,PO-060,5,,Not Started,Not Started,Yes,Price control,Tolerance enforced
PO-070,Purchasing,PO Terms,Terms and Conditions,PO terms and conditions,High,Low,Not Started,PO-050,4,,Not Started,Not Started,Yes,Legal terms,Terms attached
PO-071,Purchasing,PO Terms,Payment Terms,Payment terms on PO,High,Low,Not Started,PO-050,3,,Not Started,Not Started,Yes,Payment scheduling,Terms applied
PO-072,Purchasing,PO Terms,Delivery Terms,Incoterms and delivery terms,Medium,Low,Not Started,PO-050,3,,Not Started,Not Started,Yes,Shipping terms,Delivery terms set
PO-073,Purchasing,PO Terms,Shipping Method,Shipping method specification,Medium,Low,Not Started,PO-050,3,,Not Started,Not Started,Yes,Logistics,Method specified
PO-074,Purchasing,PO Terms,Ship-To and Bill-To,Specify shipping and billing locations,High,Low,Not Started,PO-050,4,,Not Started,Not Started,Yes,Location control,Locations set
PO-080,Purchasing,PO Modifications,PO Change Orders,Modify existing POs,High,High,Not Started,PO-050,8,,Not Started,Not Started,Yes,PO changes,Change orders work
PO-081,Purchasing,PO Modifications,Revision History,Track PO revision history,High,Medium,Not Started,PO-080,5,,Not Started,Not Started,Yes,Audit trail,History tracked
PO-082,Purchasing,PO Modifications,Change Approval,Approval for significant changes,High,High,Not Started,PO-080,7,,Not Started,Not Started,Yes,Change control,Approval works
PO-083,Purchasing,PO Modifications,Supplier Notification,Notify supplier of changes,Medium,Low,Not Started,PO-080,4,,Not Started,Not Started,Yes,Communication,Notification sent
PO-090,Purchasing,Blanket POs,Blanket PO Creation,Create blanket purchase orders,High,High,Not Started,PO-050,8,,Not Started,Not Started,Yes,Agreement management,Blanket POs created
PO-091,Purchasing,Blanket POs,Agreement Amount,Define total agreement amount or quantity,High,Low,Not Started,PO-090,3,,Not Started,Not Started,Yes,Commitment tracking,Amount tracked
PO-092,Purchasing,Blanket POs,Effective Dates,Start and end dates for blanket PO,High,Low,Not Started,PO-090,3,,Not Started,Not Started,Yes,Agreement period,Dates enforced
PO-093,Purchasing,Blanket POs,Release Mechanism,Create releases against blanket PO,Critical,High,Not Started,PO-090,8,,Not Started,Not Started,Yes,Blanket utilization,Releases work
PO-094,Purchasing,Blanket POs,Remaining Balance,Track remaining amount quantity,High,Medium,Not Started,PO-093,5,,Not Started,Not Started,Yes,Balance visibility,Balance tracked
PO-095,Purchasing,Blanket POs,Auto-Renewal,Automatic blanket PO renewal,Medium,Medium,Not Started,PO-090,6,,Not Started,Not Started,Yes,Agreement continuity,Renewal works
PO-100,Purchasing,Contract POs,Contract PO Creation,Create contract purchase orders,Medium,High,Not Started,PO-050,8,,Not Started,Not Started,Yes,Contract management,Contract POs created
PO-101,Purchasing,Contract POs,Contract Terms,Master agreement terms and conditions,Medium,Medium,Not Started,PO-100,5,,Not Started,Not Started,Yes,Agreement terms,Terms maintained
PO-102,Purchasing,Contract POs,Price Schedules,Contract price lists and schedules,Medium,Medium,Not Started,PO-100,6,,Not Started,Not Started,Yes,Pricing agreements,Schedules work
PO-103,Purchasing,Contract POs,Volume Commitments,Track volume commitments,Medium,Medium,Not Started,PO-100,5,,Not Started,Not Started,Yes,Commitment tracking,Volumes tracked
PO-104,Purchasing,Contract POs,Contract Compliance,Monitor contract compliance,Medium,High,Not Started,PO-100,7,,Not Started,Not Started,Yes,Compliance tracking,Monitoring works
PO-110,Purchasing,PO Approval,PO Approval Workflow,Multi-level PO approval,Critical,High,Not Started,PO-050 UR-170,9,,Not Started,Not Started,Yes,PO control,Workflow functional
PO-111,Purchasing,PO Approval,Amount Thresholds,Approval routing by PO amount,High,Medium,Not Started,PO-110,6,,Not Started,Not Started,Yes,Approval efficiency,Thresholds work
PO-112,Purchasing,PO Approval,Supplier Approval,New supplier approval requirement,High,Medium,Not Started,PO-110,5,,Not Started,Not Started,Yes,Supplier control,Approval works
PO-113,Purchasing,PO Approval,Price Variance Approval,Approve price variances from requisition,High,Medium,Not Started,PO-110,6,,Not Started,Not Started,Yes,Price control,Variance approval works
PO-114,Purchasing,PO Approval,Budget Approval,Budget funds checking approval,High,High,Not Started,PO-110 GL-390,7,,Not Started,Not Started,Yes,Budget control,Budget approval works
PO-115,Purchasing,PO Approval,Change Order Approval,Approval for PO changes,High,Medium,Not Started,PO-080,6,,Not Started,Not Started,Yes,Change control,Change approval works
PO-120,Purchasing,Receiving,Receipt Entry,Record receipt of goods and services,Critical,High,Not Started,PO-050,8,,Not Started,Not Started,Yes,Goods receipt,Receipts entered
PO-121,Purchasing,Receiving,Receipt Header,Receipt number date PO reference,Critical,Medium,Not Started,PO-120,5,,Not Started,Not Started,Yes,Receipt identification,Header captured
PO-122,Purchasing,Receiving,Receipt Lines,Receipt line items with quantities,Critical,High,Not Started,PO-120,7,,Not Started,Not Started,Yes,Receipt detail,Lines entered
PO-123,Purchasing,Receiving,Mobile Receipt,Mobile app for receiving,Medium,High,Not Started,PO-120,8,,Not Started,Not Started,Yes,Warehouse efficiency,Mobile receipt works
PO-124,Purchasing,Receiving,Barcode Scanning,Scan barcodes to receive,Medium,High,Not Started,PO-120,7,,Not Started,Not Started,Yes,Automation,Scanning works
PO-125,Purchasing,Receiving,ASN Integration,Advance Ship Notice integration,Medium,High,Not Started,PO-120,8,,Not Started,Not Started,Yes,Receiving automation,ASN works
