Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
AP-001,Accounts Payable,Supplier Management,Supplier Registration,Create and maintain supplier master records,Critical,Medium,Not Started,UR-001,5,,Not Started,Not Started,Yes,Foundation for AP,Suppliers can be created with required fields
AP-002,Accounts Payable,Supplier Management,Supplier Number Assignment,Manual or auto-generated supplier numbers,High,Low,Not Started,AP-001,2,,Not Started,Not Started,Yes,Unique supplier ID,Number assignment works
AP-003,Accounts Payable,Supplier Management,Supplier Types,Support different supplier types (Individual Corp Govt),Medium,Low,Not Started,AP-001,3,,Not Started,Not Started,Yes,Supplier categorization,Types can be assigned
AP-004,Accounts Payable,Supplier Management,Supplier Classification,Strategic Preferred Standard classifications,Medium,Low,Not Started,AP-001,3,,Not Started,Not Started,Yes,Supplier segmentation,Classifications work
AP-005,Accounts Payable,Supplier Management,Supplier Status,Active Inactive Hold status management,High,Medium,Not Started,AP-001,4,,Not Started,Not Started,Yes,Supplier lifecycle,Status changes enforced
AP-006,Accounts Payable,Supplier Management,Tax ID Management,Tax identification number tracking and validation,Critical,Low,Not Started,AP-001,3,,Not Started,Not Started,Yes,Tax compliance,Tax IDs captured
AP-007,Accounts Payable,Supplier Management,Parent-Child Suppliers,Hierarchical supplier relationships,Medium,Medium,Not Started,AP-001,5,,Not Started,Not Started,Yes,Supplier groups,Hierarchy functional
AP-008,Accounts Payable,Supplier Management,Supplier Merge,Merge duplicate supplier records,Medium,High,Not Started,AP-001,7,,Not Started,Not Started,Yes,Data cleanup,Merge capability works
AP-010,Accounts Payable,Supplier Sites,Supplier Site Management,Multiple sites/locations per supplier,Critical,Medium,Not Started,AP-001,5,,Not Started,Not Started,Yes,Multi-location suppliers,Sites can be created
AP-011,Accounts Payable,Supplier Sites,Site Types,Pay Order Both site types,High,Low,Not Started,AP-010,2,,Not Started,Not Started,Yes,Site categorization,Site types supported
AP-012,Accounts Payable,Supplier Sites,Site Addresses,Billing shipping remittance addresses,High,Low,Not Started,AP-010,3,,Not Started,Not Started,Yes,Multiple address types,Addresses maintained
AP-013,Accounts Payable,Supplier Sites,Primary Site,Designate primary site per supplier,Medium,Low,Not Started,AP-010,2,,Not Started,Not Started,Yes,Default site,Primary site set
