Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
FA-001,Fixed Assets,Setup,Asset Categories,Define asset categories for classification,Critical,Medium,Not Started,None,5,,,Yes,,Create category structure with GL defaults
FA-002,Fixed Assets,Setup,Asset Books,Set up multiple asset books,Critical,High,Not Started,GL-001,8,,,Yes,,Configure corporate tax and IFRS books
FA-003,Fixed Assets,Setup,Depreciation Methods,Configure depreciation methods,Critical,High,Not Started,FA-002,9,,,Yes,,Support straight-line declining balance and MACRS
FA-010,Fixed Assets,Acquisition,Asset Addition,Add new assets to the system,Critical,High,Not Started,FA-001,10,,,Yes,,Create asset master with all required details
FA-011,Fixed Assets,Acquisition,Assets from AP,Create assets from AP invoices,Critical,High,Not Started,AP-001,10,,,Yes,,Link AP invoices to asset additions
FA-012,Fixed Assets,Acquisition,Construction in Progress,Track assets under construction,High,High,Not Started,FA-010,9,,,Yes,,Accumulate CIP costs and transfer to assets
FA-020,Fixed Assets,Depreciation,Depreciation Calculation,Calculate depreciation per configured methods,Critical,High,Not Started,FA-003,12,,,Yes,,Support multiple methods and books
FA-021,Fixed Assets,Depreciation,Depreciation Processing,Run periodic depreciation processing,Critical,High,Not Started,FA-020,10,,,Yes,,Mass depreciation with GL posting
FA-022,Fixed Assets,Depreciation,Depreciation Adjustment,Adjust depreciation for errors and changes,High,Medium,Not Started,FA-021,7,,,Yes,,Process adjustments and recalculate prospectively
FA-030,Fixed Assets,Transfers,Location Transfers,Transfer assets between locations,High,Medium,Not Started,FA-010,6,,,Yes,,Update location without depreciation impact
FA-031,Fixed Assets,Transfers,Cost Center Transfers,Transfer assets between cost centers,High,High,Not Started,FA-030,8,,,Yes,,Change GL assignment and reallocate depreciation
FA-032,Fixed Assets,Transfers,Intercompany Transfers,Transfer assets between legal entities,Medium,High,Not Started,GL-140,10,,,Yes,,Retire in source add in destination with gain/loss
FA-040,Fixed Assets,Retirement,Asset Retirement,Retire assets from service,Critical,High,Not Started,FA-020,9,,,Yes,,Calculate gain/loss and post retirement entries
FA-041,Fixed Assets,Retirement,Asset Sale,Process asset sales with proceeds,High,High,Not Started,FA-040,8,,,Yes,,Record sale price and calculate gain/loss
FA-042,Fixed Assets,Retirement,Asset Disposal,Process asset disposals and scrap,High,Medium,Not Started,FA-040,6,,,Yes,,Record disposal with loss recognition
FA-050,Fixed Assets,Physical Inventory,Physical Count,Conduct physical inventory of assets,High,Medium,Not Started,FA-010,8,,,Yes,,Generate count sheets and reconcile to records
FA-051,Fixed Assets,Physical Inventory,Asset Verification,Verify asset existence and condition,Medium,Medium,Not Started,FA-050,6,,,Yes,,Periodic verification with photo documentation
FA-060,Fixed Assets,Impairment,Asset Impairment,Test and record asset impairment,Medium,High,Not Started,FA-020,10,,,No,,Calculate recoverable amount and impairment loss
FA-061,Fixed Assets,Impairment,Asset Revaluation,Revalue assets to fair value (IFRS),Low,High,Not Started,FA-060,9,,,No,,Record revaluation surplus and update basis
FA-070,Fixed Assets,Leases,Lease Assets,Manage ROU assets per ASC 842 IFRS 16,High,High,Not Started,FA-010,12,,,No,,Calculate lease liability and ROU asset
FA-071,Fixed Assets,Leases,Lease Modification,Process lease modifications,Medium,High,Not Started,FA-070,8,,,No,,Remeasure liability and adjust ROU asset
FA-080,Fixed Assets,Reporting,Asset Reports,Comprehensive fixed asset reporting,Critical,Medium,Not Started,FA-020,8,,,Yes,,Generate register schedule and roll forward reports
FA-081,Fixed Assets,Reporting,Asset Analytics,Analytics dashboards for asset portfolio,High,Medium,Not Started,FA-080,8,,,No,,Display key metrics and portfolio analysis
FA-090,Fixed Assets,Integration,AP Integration,Integrate with Accounts Payable,Critical,High,Not Started,AP-001,10,,,Yes,,Create assets from capital invoices
FA-091,Fixed Assets,Integration,GL Integration,Post asset transactions to General Ledger,Critical,High,Not Started,GL-001,11,,,Yes,,Post additions depreciation and retirements
FA-092,Fixed Assets,Integration,PO Integration,Link assets to purchase orders,High,Medium,Not Started,PO-001,7,,,Yes,,Flag capital POs and link to assets
FA-100,Fixed Assets,Security,Asset Security,Security controls for asset management,Critical,Medium,Not Started,UR-001,6,,,Yes,,Role-based access with approvals
FA-101,Fixed Assets,Security,Audit Trail,Comprehensive audit trail for assets,Critical,Medium,Not Started,FA-100,5,,,Yes,,Log all changes with user and timestamp
FA-004,Fixed Assets,Setup,Asset Numbering,Configure asset numbering schemes,High,Low,Not Started,FA-001,3,,,Yes,,Auto or manual asset number assignment
FA-005,Fixed Assets,Setup,Useful Life Defaults,Set useful life defaults by category,High,Low,Not Started,FA-001,3,,,Yes,,Default useful life ranges per category
FA-013,Fixed Assets,Acquisition,Bulk Asset Addition,Add multiple assets in batch,High,Medium,Not Started,FA-010,7,,,Yes,,Import and create assets from spreadsheet
FA-023,Fixed Assets,Depreciation,Bonus Depreciation,Calculate bonus depreciation (tax),High,Medium,Not Started,FA-020,6,,,Yes,,Apply bonus depreciation rules per tax code
FA-024,Fixed Assets,Depreciation,Section 179 Expense,Process Section 179 expense election,High,Medium,Not Started,FA-023,6,,,Yes,,Calculate and apply Section 179 limits
FA-033,Fixed Assets,Transfers,Mass Transfers,Transfer multiple assets in batch,Medium,Medium,Not Started,FA-030,6,,,Yes,,Bulk transfer by criteria
FA-043,Fixed Assets,Retirement,Trade-In Processing,Process asset trade-ins,Medium,Medium,Not Started,FA-041,6,,,Yes,,Apply trade-in value to new asset
FA-052,Fixed Assets,Physical Inventory,Mobile Counting,Mobile app for physical counts,Medium,High,Not Started,FA-050,9,,,Yes,,Barcode scanning and real-time updates
FA-062,Fixed Assets,Impairment,Impairment Reversal,Reverse impairment under IFRS,Low,Medium,Not Started,FA-060,5,,,No,,Restore carrying value up to original basis
FA-072,Fixed Assets,Leases,Lease Termination,Process early lease terminations,Medium,Medium,Not Started,FA-070,6,,,No,,Calculate termination gain/loss
FA-082,Fixed Assets,Reporting,Tax Reports,Generate tax depreciation reports,High,Medium,Not Started,FA-080,6,,,Yes,,Form 4562 and tax basis reports
FA-093,Fixed Assets,Integration,Budget Integration,Integrate with capital budgets,Medium,Medium,Not Started,GL-180,7,,,Yes,,Track actual vs budgeted capital spend
FA-006,Fixed Assets,Setup,Asset Tags,Generate and print asset tags,Medium,Low,Not Started,FA-010,4,,,Yes,,Barcode labels for physical assets
FA-014,Fixed Assets,Acquisition,Asset Components,Track asset components separately,Medium,High,Not Started,FA-010,8,,,Yes,,Component-level depreciation (IFRS)
FA-025,Fixed Assets,Depreciation,Depreciation Simulation,Simulate depreciation before posting,High,Medium,Not Started,FA-021,6,,,Yes,,Preview depreciation impact
FA-034,Fixed Assets,Transfers,Transfer Approval,Approval workflow for asset transfers,High,Medium,Not Started,FA-031,5,,,Yes,,Route transfers for approval
FA-044,Fixed Assets,Retirement,Retirement Approval,Approval workflow for retirements,High,Medium,Not Started,FA-040,5,,,Yes,,Require approval for high-value retirements
FA-053,Fixed Assets,Physical Inventory,Variance Resolution,Resolve physical inventory variances,High,Medium,Not Started,FA-050,6,,,Yes,,Investigate and adjust for missing/found assets
