Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
CM-001,Cost Management,Organization Setup,Cost Organization,Define cost organizations aligned with inventory organizations,Critical,Medium,Not Started,INV-001,5,,,Yes,,Setup cost organization with costing parameters
CM-002,Cost Management,Organization Setup,Cost Book Setup,Define multiple cost books for parallel costing scenarios,High,Medium,Not Started,CM-001,4,,,Yes,,Create primary and secondary cost books
CM-010,Cost Management,Costing Methods,Standard Costing,Support standard costing with predetermined costs,Critical,High,Not Started,CM-001,10,,,Yes,,Implement standard costing with variance tracking
CM-011,Cost Management,Costing Methods,Average Costing,Maintain perpetual weighted average costs,Critical,High,Not Started,CM-001,9,,,Yes,,Calculate and update average costs on receipts
CM-012,Cost Management,Costing Methods,FIFO Costing,Support First-In-First-Out costing methodology,High,High,Not Started,CM-001,10,,,Yes,,Implement FIFO cost layer management
CM-013,Cost Management,Costing Methods,LIFO Costing,Support Last-In-First-Out costing methodology,Medium,High,Not Started,CM-001,10,,,Yes,,Implement LIFO cost layer management
CM-014,Cost Management,Costing Methods,Actual Costing,Support actual cost capture and allocation,High,High,Not Started,CM-001,9,,,Yes,,Capture and allocate actual costs
CM-020,Cost Management,Cost Elements,Element Definition,Define cost element structures and categories,Critical,Medium,Not Started,CM-001,5,,,Yes,,Define standard cost elements (Material Labor Overhead)
CM-021,Cost Management,Cost Elements,Component Classes,Group cost elements into component classes,High,Medium,Not Started,CM-020,4,,,Yes,,Create cost component class hierarchies
CM-030,Cost Management,Overhead,Rate Setup,Define and maintain overhead rates,Critical,High,Not Started,CM-020,8,,,Yes,,Create overhead rate structures with effective dates
CM-031,Cost Management,Overhead,Overhead Allocation,Allocate overhead costs to products,Critical,High,Not Started,CM-030,10,,,Yes,,Process overhead allocations with multiple methods
CM-032,Cost Management,Overhead,Activity-Based Costing,Support ABC methodology for overhead allocation,High,High,Not Started,CM-030,12,,,No,,Implement ABC with cost drivers and activity pools
CM-040,Cost Management,Cost Processing,Cost Accounting Cycle,Process cost transactions through accounting cycle,Critical,High,Not Started,CM-020,10,,,Yes,,Process receipts issues and calculate COGS
CM-041,Cost Management,Cost Processing,Transaction Processor,Automated processor for cost distributions,Critical,High,Not Started,CM-040,12,,,Yes,,Create automated cost transaction processor
CM-042,Cost Management,Cost Processing,Inventory Valuation,Calculate inventory valuation for financial reporting,Critical,High,Not Started,INV-001,9,,,Yes,,Generate inventory valuation by costing method
CM-050,Cost Management,Cost Updates,Standard Cost Updates,Process standard cost updates with simulation,Critical,High,Not Started,CM-010,10,,,Yes,,Simulate approve and implement cost updates
CM-051,Cost Management,Cost Updates,Cost Rollup,Calculate rolled-up costs for assemblies,Critical,High,Not Started,CM-020,11,,,Yes,,Roll up component costs through BOM structure
CM-052,Cost Management,Cost Updates,Mass Cost Updates,Perform mass cost updates by criteria,High,Medium,Not Started,CM-050,7,,,Yes,,Update costs in batch with preview and validation
CM-060,Cost Management,Variance Analysis,Purchase Price Variance,Calculate and analyze PPV,Critical,Medium,Not Started,PO-001,7,,,Yes,,Calculate PPV on receipt transactions
CM-061,Cost Management,Variance Analysis,Material Usage Variance,Track material consumption variances,High,Medium,Not Started,CM-010,6,,,Yes,,Calculate usage variance against standards
CM-062,Cost Management,Variance Analysis,Cost Variance Reporting,Comprehensive variance reporting,Critical,Medium,Not Started,CM-060,8,,,Yes,,Generate variance reports across all types
CM-070,Cost Management,WIP Costing,WIP Valuation,Calculate work in process valuation,High,High,Not Started,CM-040,9,,,Yes,,Value WIP by job with material labor overhead
CM-071,Cost Management,WIP Costing,Job Costing,Track costs by individual jobs,High,High,Not Started,CM-070,10,,,Yes,,Create job cost sheets with actual tracking
CM-080,Cost Management,Reporting,Standard Cost Reports,Generate comprehensive cost reports,Critical,Medium,Not Started,CM-040,8,,,Yes,,Generate item cost COGS WIP and variance reports
CM-081,Cost Management,Reporting,Cost Analytics,Provide real-time cost analytics and dashboards,High,Medium,Not Started,CM-080,9,,,No,,Create interactive cost dashboards with KPIs
CM-090,Cost Management,Integration,Inventory Integration,Integration with Inventory module,Critical,High,Not Started,INV-001,10,,,Yes,,Real-time cost updates from inventory transactions
CM-091,Cost Management,Integration,Purchasing Integration,Integration with Purchasing module,Critical,High,Not Started,PO-001,9,,,Yes,,Capture receipt costs and calculate PPV
CM-092,Cost Management,Integration,GL Integration,Post cost distributions to General Ledger,Critical,High,Not Started,GL-001,11,,,Yes,,Create and post cost accounting journals to GL
CM-093,Cost Management,Integration,Order Management Integration,Provide costs for profitability analysis,High,Medium,Not Started,OM-001,7,,,Yes,,Supply cost data for margin and pricing
CM-100,Cost Management,Period Close,Period Management,Manage cost accounting periods,Critical,Medium,Not Started,GL-100,6,,,Yes,,Open close and control cost periods
CM-101,Cost Management,Period Close,Close Checklist,Systematic period close checklist,Critical,Medium,Not Started,CM-100,7,,,Yes,,Complete all cost activities before period close
CM-110,Cost Management,Security,Cost Security,Implement security controls for cost data,Critical,Medium,Not Started,UR-001,6,,,Yes,,Role-based access with segregation of duties
CM-111,Cost Management,Security,Audit Trail,Maintain comprehensive cost audit trail,Critical,Medium,Not Started,CM-110,5,,,Yes,,Log all cost changes with user and timestamp
CM-015,Cost Management,Costing Methods,Costing Method Assignment,Assign costing methods to items and organizations,Critical,Medium,Not Started,CM-010,5,,,Yes,,Configure costing method by item or category
CM-022,Cost Management,Cost Elements,Element Mapping,Map cost elements to GL accounts,Critical,Medium,Not Started,CM-020,5,,,Yes,,Create GL account mapping for each cost element
CM-033,Cost Management,Overhead,Overhead Pools,Define overhead cost pools,High,Medium,Not Started,CM-030,6,,,Yes,,Create and maintain overhead pools by department
CM-034,Cost Management,Overhead,Cost Drivers,Define and track cost drivers for ABC,High,High,Not Started,CM-032,7,,,No,,Identify and capture cost driver data
CM-043,Cost Management,Cost Processing,COGS Calculation,Calculate cost of goods sold,Critical,High,Not Started,CM-040,8,,,Yes,,Calculate COGS on inventory issues and sales
CM-044,Cost Management,Cost Processing,Cost Adjustments,Process cost adjustments and corrections,High,Medium,Not Started,CM-040,6,,,Yes,,Support retroactive cost adjustments
CM-053,Cost Management,Cost Updates,Cost Simulation,Simulate cost changes before implementation,High,Medium,Not Started,CM-050,7,,,Yes,,What-if analysis for cost updates
CM-054,Cost Management,Cost Updates,Cost Approval Workflow,Approval workflow for cost changes,Critical,Medium,Not Started,CM-050,6,,,Yes,,Multi-level approval for cost updates
CM-063,Cost Management,Variance Analysis,Labor Variance,Track labor rate and efficiency variances,High,Medium,Not Started,CM-010,6,,,Yes,,Calculate labor variances for manufacturing
CM-064,Cost Management,Variance Analysis,Overhead Variance,Track overhead spending and volume variances,High,Medium,Not Started,CM-031,7,,,Yes,,Calculate overhead variances by type
CM-065,Cost Management,Variance Analysis,Variance Thresholds,Set variance alert thresholds,Medium,Low,Not Started,CM-062,3,,,Yes,,Configure variance tolerance limits
CM-072,Cost Management,WIP Costing,WIP Transfers,Transfer costs from WIP to finished goods,High,Medium,Not Started,CM-070,6,,,Yes,,Move costs from WIP to FG on completion
CM-073,Cost Management,WIP Costing,Scrap Costing,Account for scrap and waste costs,High,Medium,Not Started,CM-070,5,,,Yes,,Track and allocate scrap costs
CM-082,Cost Management,Reporting,Cost Comparison Reports,Compare costs across periods and organizations,High,Medium,Not Started,CM-080,6,,,Yes,,Multi-period and multi-org cost comparison
CM-083,Cost Management,Reporting,Profitability Analysis,Analyze profitability by product and customer,High,Medium,Not Started,CM-080,7,,,No,,Calculate and report product profitability
CM-094,Cost Management,Integration,Multi-Org Cost Transfer,Handle interorg transfer costing,High,High,Not Started,INV-140,8,,,Yes,,Cost goods transferred between organizations
CM-095,Cost Management,Integration,External Cost Interface,Interface with external cost systems,Medium,High,Not Started,CM-092,9,,,Yes,,Import/export costs from external systems
CM-102,Cost Management,Period Close,Period Reconciliation,Reconcile cost subledger to GL,Critical,Medium,Not Started,CM-101,7,,,Yes,,Ensure cost entries match GL balances
CM-103,Cost Management,Period Close,Period Rollback,Rollback and reopen closed periods,Medium,Medium,Not Started,CM-100,5,,,Yes,,Reopen periods with proper authorization
CM-112,Cost Management,Security,Cost Data Encryption,Encrypt sensitive cost data,High,Medium,Not Started,CM-110,4,,,Yes,,Protect confidential cost information
CM-016,Cost Management,Costing Methods,Lot Cost Tracking,Track costs by lot number,High,High,Not Started,INV-080,8,,,Yes,,Maintain separate costs for each lot
CM-017,Cost Management,Costing Methods,Serial Cost Tracking,Track costs by serial number,Medium,High,Not Started,INV-090,8,,,Yes,,Maintain costs at serial number level
CM-023,Cost Management,Cost Elements,Custom Cost Elements,Support custom cost element definition,Medium,Medium,Not Started,CM-020,5,,,Yes,,Allow user-defined cost elements
CM-035,Cost Management,Overhead,Burden Rates,Calculate and apply burden rates,High,Medium,Not Started,CM-030,6,,,Yes,,Apply burden to direct costs
