Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
ABS-001,Absence,Setup,Absence Types,Define absence types and categories,Critical,Medium,Not Started,None,5,,,Yes,,Vacation sick personal leave types
ABS-002,Absence,Setup,Absence Plans,Create absence plans by employee group,Critical,High,Not Started,ABS-001,8,,,Yes,,Plan rules and eligibility
ABS-003,Absence,Setup,Accrual Rules,Define accrual calculation rules,Critical,High,Not Started,ABS-002,9,,,Yes,,Multiple accrual methods supported
ABS-010,Absence,Processing,Absence Requests,Submit and process absence requests,Critical,High,Not Started,HCM-060,10,,,Yes,,ESS absence request workflow
ABS-011,Absence,Processing,Approval Workflow,Manage approval workflows,Critical,High,Not Started,ABS-010,9,,,Yes,,Multi-level approval routing
ABS-012,Absence,Processing,Absence Calendar,Team absence calendar and scheduling,High,High,Not Started,ABS-010,10,,,Yes,,Visual calendar with conflicts
ABS-020,Absence,Balances,Accrual Processing,Run periodic accrual batches,Critical,High,Not Started,ABS-003,9,,,Yes,,Automated accrual calculation
ABS-021,Absence,Balances,Balance Tracking,Track leave balances,Critical,Medium,Not Started,ABS-020,7,,,Yes,,Current and projected balances
ABS-022,Absence,Balances,Balance Adjustments,Manual balance adjustments,High,Medium,Not Started,ABS-021,6,,,Yes,,Approved adjustments with audit
ABS-030,Absence,Compliance,FMLA Management,Manage FMLA leave compliance,Critical,High,Not Started,ABS-010,11,,,Yes,,12-week tracking and notices
ABS-031,Absence,Compliance,State Leave Laws,Support state-specific leave laws,High,High,Not Started,ABS-030,10,,,Yes,,Paid family and sick leave
ABS-032,Absence,Compliance,ADA Accommodations,Track reasonable accommodation leave,High,Medium,Not Started,ABS-030,8,,,No,,Interactive process documentation
ABS-040,Absence,Payouts,PTO Payout,Calculate PTO payouts on termination,Critical,High,Not Started,PAY-047,8,,,Yes,,State-specific payout rules
ABS-041,Absence,Payouts,Leave Cashout,PTO sell-back processing,Medium,Medium,Not Started,ABS-040,6,,,Yes,,Annual cashout windows
ABS-050,Absence,Reporting,Absence Reports,Standard absence reports,Critical,Medium,Not Started,ABS-021,7,,,Yes,,Usage liability and trend reports
ABS-051,Absence,Reporting,Absence Analytics,Analytics and dashboards,High,Medium,Not Started,ABS-050,8,,,No,,Absence rate and pattern analysis
ABS-060,Absence,Integration,Payroll Integration,Integration with Payroll module,Critical,High,Not Started,PAY-094,10,,,Yes,,Absence hours and payouts to payroll
ABS-061,Absence,Integration,Time Integration,Integration with Time & Attendance,High,High,Not Started,None,9,,,Yes,,Absence vs time worked
ABS-062,Absence,Integration,HCM Integration,Integration with HCM module,Critical,High,Not Started,HCM-101,9,,,Yes,,Employee and manager data sync
ABS-004,Absence,Setup,Carryover Rules,Define balance carryover rules,High,Medium,Not Started,ABS-003,6,,,Yes,,Annual carryover and use-it-or-lose-it
