Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
AR-001,Accounts Receivable,Customer Management,Customer Registration,Create and maintain customer master records,Critical,Medium,Not Started,UR-001,5,,Not Started,Not Started,Yes,Foundation for AR,Customers can be created
AR-002,Accounts Receivable,Customer Management,Customer Number Assignment,Manual or auto-generated customer numbers,High,Low,Not Started,AR-001,2,,Not Started,Not Started,Yes,Unique customer ID,Number assignment works
AR-003,Accounts Receivable,Customer Management,Customer Types,Support different customer types (Individual Corp Govt),Medium,Low,Not Started,AR-001,3,,Not Started,Not Started,Yes,Customer categorization,Types can be assigned
AR-004,Accounts Receivable,Customer Management,Customer Classification,Key Strategic Standard classifications,Medium,Low,Not Started,AR-001,3,,Not Started,Not Started,Yes,Customer segmentation,Classifications work
AR-005,Accounts Receivable,Customer Management,Customer Status,Active Inactive On Hold status management,High,Medium,Not Started,AR-001,4,,Not Started,Not Started,Yes,Customer lifecycle,Status changes enforced
AR-006,Accounts Receivable,Customer Management,Tax ID Management,Tax identification number tracking,Critical,Low,Not Started,AR-001,3,,Not Started,Not Started,Yes,Tax compliance,Tax IDs captured
AR-007,Accounts Receivable,Customer Management,Parent-Child Customers,Hierarchical customer relationships,Medium,Medium,Not Started,AR-001,5,,Not Started,Not Started,Yes,Customer groups,Hierarchy functional
AR-008,Accounts Receivable,Customer Management,Customer Merge,Merge duplicate customer records,Medium,High,Not Started,AR-001,7,,Not Started,Not Started,Yes,Data cleanup,Merge capability works
AR-010,Accounts Receivable,Customer Sites,Customer Site Management,Multiple sites/locations per customer,Critical,Medium,Not Started,AR-001,5,,Not Started,Not Started,Yes,Multi-location customers,Sites can be created
AR-011,Accounts Receivable,Customer Sites,Site Types,Bill-To Ship-To Both site types,High,Low,Not Started,AR-010,2,,Not Started,Not Started,Yes,Site categorization,Site types supported
AR-012,Accounts Receivable,Customer Sites,Site Addresses,Billing and shipping addresses,High,Low,Not Started,AR-010,3,,Not Started,Not Started,Yes,Multiple address types,Addresses maintained
AR-013,Accounts Receivable,Customer Sites,Primary Site,Designate primary site per customer,Medium,Low,Not Started,AR-010,2,,Not Started,Not Started,Yes,Default site,Primary site set
AR-014,Accounts Receivable,Customer Sites,Site Payment Terms,Site-specific payment terms,High,Medium,Not Started,AR-010,4,,Not Started,Not Started,Yes,Flexible terms,Site terms work
AR-015,Accounts Receivable,Customer Sites,Site Credit Limits,Site-level credit limits,High,Medium,Not Started,AR-010,4,,Not Started,Not Started,Yes,Credit control,Site limits work
AR-020,Accounts Receivable,Customer Contacts,Contact Management,Maintain customer contact information,High,Low,Not Started,AR-001,3,,Not Started,Not Started,Yes,Communication,Contacts can be added
AR-021,Accounts Receivable,Customer Contacts,Contact Roles,Billing AR Primary Sales contact roles,Medium,Low,Not Started,AR-020,2,,Not Started,Not Started,Yes,Role assignment,Roles functional
AR-022,Accounts Receivable,Customer Contacts,Email Delivery,Email invoices and statements to contacts,High,Medium,Not Started,AR-020,4,,Not Started,Not Started,Yes,Electronic delivery,Email delivery works
AR-030,Accounts Receivable,Customer Banking,Bank Account Setup,Maintain customer bank account information,Medium,Medium,Not Started,AR-001,5,,Not Started,Not Started,Yes,Direct debit,Bank accounts created
AR-031,Accounts Receivable,Customer Banking,Direct Debit Authorization,Authorize automatic collections,Medium,Medium,Not Started,AR-030,5,,Not Started,Not Started,Yes,Auto-collections,Authorization works
AR-032,Accounts Receivable,Customer Banking,Auto-Payment Setup,Configure automatic payment,Medium,High,Not Started,AR-031,6,,Not Started,Not Started,Yes,Payment automation,Auto-payment works
AR-040,Accounts Receivable,Payment Terms,Payment Terms Setup,Define standard payment terms,Critical,Low,Not Started,,3,,Not Started,Not Started,Yes,Payment scheduling,Terms configured
AR-041,Accounts Receivable,Payment Terms,Discount Terms,Early payment discount terms,High,Medium,Not Started,AR-040,4,,Not Started,Not Started,Yes,Discount offering,Discount calculation works
AR-042,Accounts Receivable,Payment Terms,Due Date Calculation,Automatic due date calculation,Critical,Medium,Not Started,AR-040,4,,Not Started,Not Started,Yes,Payment scheduling,Due dates calculated
AR-050,Accounts Receivable,Invoice Management,Manual Invoice Entry,User entry of customer invoices,Critical,High,Not Started,AR-001,8,,Not Started,Not Started,Yes,Core AR functionality,Manual entry works
AR-051,Accounts Receivable,Invoice Management,Invoice Header,Invoice number date type amount tax,Critical,Medium,Not Started,AR-050,5,,Not Started,Not Started,Yes,Invoice identification,Header fields captured
AR-052,Accounts Receivable,Invoice Management,Invoice Lines,Multiple line items per invoice,Critical,High,Not Started,AR-050,7,,Not Started,Not Started,Yes,Line detail,Lines can be entered
AR-053,Accounts Receivable,Invoice Management,Invoice Distributions,GL account distributions for revenue,Critical,High,Not Started,AR-052 GL-040,7,,Not Started,Not Started,Yes,GL accounting,Distributions work
AR-054,Accounts Receivable,Invoice Management,Multi-Currency Invoices,Foreign currency invoice entry,High,High,Not Started,AR-050 GL-091,7,,Not Started,Not Started,Yes,Global operations,Multi-currency works
AR-055,Accounts Receivable,Invoice Management,Invoice Attachments,Attach supporting documents,Medium,Medium,Not Started,AR-050,5,,Not Started,Not Started,Yes,Supporting docs,Attachments functional
AR-056,Accounts Receivable,Invoice Management,Invoice Templates,Reusable invoice templates,Medium,Medium,Not Started,AR-050,5,,Not Started,Not Started,Yes,Efficient entry,Templates work
AR-060,Accounts Receivable,Invoice Creation,Auto-Invoice from Orders,Generate invoices from sales orders,Critical,High,Not Started,AR-050,9,,Not Started,Not Started,Yes,Order integration,Auto-invoice works
AR-061,Accounts Receivable,Invoice Creation,Recurring Invoices,Template-based recurring billing,High,High,Not Started,AR-050,8,,Not Started,Not Started,Yes,Subscription billing,Recurring works
AR-062,Accounts Receivable,Invoice Creation,Contract Billing,Milestone and time-based billing,Medium,High,Not Started,AR-050,9,,Not Started,Not Started,Yes,Project billing,Contract billing works
AR-063,Accounts Receivable,Invoice Creation,Import Invoices,Import invoices from file,Medium,High,Not Started,AR-050,7,,Not Started,Not Started,Yes,Bulk processing,Import functional
AR-070,Accounts Receivable,Invoice Printing,Invoice Template Configuration,Configure invoice templates,High,Medium,Not Started,AR-050,6,,Not Started,Not Started,Yes,Professional invoices,Templates configured
AR-071,Accounts Receivable,Invoice Printing,Print Invoices,Print individual or batch invoices,High,Medium,Not Started,AR-070,5,,Not Started,Not Started,Yes,Invoice delivery,Printing works
AR-072,Accounts Receivable,Invoice Printing,Email Invoices,Email invoice delivery to customers,Critical,Medium,Not Started,AR-070,6,,Not Started,Not Started,Yes,Electronic delivery,Email delivery works
AR-073,Accounts Receivable,Invoice Printing,PDF Generation,Generate PDF invoices,High,Low,Not Started,AR-070,4,,Not Started,Not Started,Yes,Standard format,PDF generation works
AR-074,Accounts Receivable,Invoice Printing,Multi-Language Invoices,Support multiple languages,Medium,Medium,Not Started,AR-070,6,,Not Started,Not Started,Yes,Global operations,Languages supported
AR-080,Accounts Receivable,Invoice Approval,Approval Workflow,Multi-level invoice approval,High,High,Not Started,AR-050 UR-170,8,,Not Started,Not Started,Yes,Invoice control,Approval workflow works
AR-081,Accounts Receivable,Invoice Approval,Amount-Based Routing,Route by invoice amount thresholds,Medium,Medium,Not Started,AR-080,5,,Not Started,Not Started,Yes,Approval efficiency,Routing works
AR-090,Accounts Receivable,Invoice Holds,Credit Hold,Hold invoices for credit limit breach,Critical,High,Not Started,AR-050,7,,Not Started,Not Started,Yes,Credit control,Credit holds work
AR-091,Accounts Receivable,Invoice Holds,Manual Hold,User-placed holds on invoices,High,Medium,Not Started,AR-050,5,,Not Started,Not Started,Yes,Invoice control,Manual holds work
AR-092,Accounts Receivable,Invoice Holds,Collections Hold,Hold for delinquent accounts,High,Medium,Not Started,AR-050,5,,Not Started,Not Started,Yes,Collections control,Collections holds work
AR-093,Accounts Receivable,Invoice Holds,Hold Release,Release holds when conditions met,High,Medium,Not Started,AR-090,6,,Not Started,Not Started,Yes,Invoice processing,Release functional
AR-100,Accounts Receivable,Receipt Processing,Manual Receipt Entry,User entry of customer payments,Critical,High,Not Started,AR-001,8,,Not Started,Not Started,Yes,Cash collection,Receipt entry works
AR-101,Accounts Receivable,Receipt Processing,Receipt Methods,Cash Check ACH Wire Credit Card,Critical,Low,Not Started,AR-100,4,,Not Started,Not Started,Yes,Payment types,Methods supported
AR-102,Accounts Receivable,Receipt Processing,Multi-Currency Receipts,Foreign currency receipt processing,High,High,Not Started,AR-100 GL-091,7,,Not Started,Not Started,Yes,Global operations,Multi-currency works
AR-103,Accounts Receivable,Receipt Processing,Receipt Accounting,GL posting for receipts,Critical,High,Not Started,AR-100 GL-180,8,,Not Started,Not Started,Yes,GL integration,Receipt posting works
AR-110,Accounts Receivable,Receipt Application,Manual Application,User applies receipts to invoices,Critical,High,Not Started,AR-100,8,,Not Started,Not Started,Yes,Cash application,Manual application works
AR-111,Accounts Receivable,Receipt Application,AutoCash,Automatic receipt matching and application,High,High,Not Started,AR-100,9,,Not Started,Not Started,Yes,Automation,AutoCash works
AR-112,Accounts Receivable,Receipt Application,Apply to Oldest,Apply receipts to oldest invoices first,High,Low,Not Started,AR-110,4,,Not Started,Not Started,Yes,FIFO application,Oldest first works
AR-113,Accounts Receivable,Receipt Application,Apply Discount,Apply early payment discounts,High,Medium,Not Started,AR-110,5,,Not Started,Not Started,Yes,Discount capture,Discount application works
AR-114,Accounts Receivable,Receipt Application,Overpayment Handling,Handle overpayments (On-Account Refund),High,Medium,Not Started,AR-110,6,,Not Started,Not Started,Yes,Overpayment processing,Handling works
AR-115,Accounts Receivable,Receipt Application,Partial Application,Apply partial payments,High,Low,Not Started,AR-110,4,,Not Started,Not Started,Yes,Payment flexibility,Partial application works
AR-116,Accounts Receivable,Receipt Application,Cross-Currency Application,Apply foreign currency receipts,Medium,High,Not Started,AR-102,7,,Not Started,Not Started,Yes,Multi-currency,Cross-currency works
AR-120,Accounts Receivable,Unidentified Receipts,On-Account Receipts,Handle unidentified receipts,High,Medium,Not Started,AR-100,6,,Not Started,Not Started,Yes,Receipt processing,On-account works
AR-121,Accounts Receivable,Unidentified Receipts,Receipt Research,Research and identify receipts,Medium,Low,Not Started,AR-120,4,,Not Started,Not Started,Yes,Receipt identification,Research functional
AR-122,Accounts Receivable,Unidentified Receipts,Reclassification,Reclassify to identified customer,Medium,Medium,Not Started,AR-120,5,,Not Started,Not Started,Yes,Correction capability,Reclassification works
AR-130,Accounts Receivable,Receipt Reversals,Reverse Receipts,Reverse unapplied or applied receipts,High,High,Not Started,AR-100,7,,Not Started,Not Started,Yes,Error correction,Reversal works
AR-131,Accounts Receivable,Receipt Reversals,NSF Processing,Handle non-sufficient funds,High,Medium,Not Started,AR-130,6,,Not Started,Not Started,Yes,NSF handling,NSF processing works
AR-132,Accounts Receivable,Receipt Reversals,Reinstate Invoices,Reinstate invoice balances on reversal,High,Medium,Not Started,AR-130,5,,Not Started,Not Started,Yes,Balance restoration,Reinstatement works
AR-140,Accounts Receivable,Credit Management,Credit Limit Setup,Define customer credit limits,Critical,Medium,Not Started,AR-001,6,,Not Started,Not Started,Yes,Credit control,Limits configured
AR-141,Accounts Receivable,Credit Management,Credit Checking,Real-time credit check before transactions,Critical,High,Not Started,AR-140,8,,Not Started,Not Started,Yes,Credit enforcement,Checking works
AR-142,Accounts Receivable,Credit Management,Credit Exposure Calculation,Calculate total credit exposure,Critical,High,Not Started,AR-141,7,,Not Started,Not Started,Yes,Accurate exposure,Calculation works
AR-143,Accounts Receivable,Credit Management,Credit Hold Override,Override credit holds with authority,High,Medium,Not Started,AR-141,5,,Not Started,Not Started,Yes,Exception handling,Override works
AR-144,Accounts Receivable,Credit Management,Credit Review,Periodic credit reviews and approvals,High,High,Not Started,AR-140,7,,Not Started,Not Started,Yes,Credit management,Review process works
AR-145,Accounts Receivable,Credit Management,Risk Rating,Assign risk ratings to customers,Medium,Medium,Not Started,AR-001,5,,Not Started,Not Started,Yes,Risk management,Ratings assigned
AR-150,Accounts Receivable,Collections,Collections Strategy,Define collections strategies,High,High,Not Started,AR-001,8,,Not Started,Not Started,Yes,Collections framework,Strategy defined
AR-151,Accounts Receivable,Collections,Collector Assignment,Assign customers to collectors,High,Medium,Not Started,AR-150,6,,Not Started,Not Started,Yes,Workload distribution,Assignment works
AR-152,Accounts Receivable,Collections,Collections Activities,Log and track collections activities,High,High,Not Started,AR-150,8,,Not Started,Not Started,Yes,Activity tracking,Logging works
AR-153,Accounts Receivable,Collections,Promise to Pay,Track customer payment promises,High,Medium,Not Started,AR-152,6,,Not Started,Not Started,Yes,Commitment tracking,Promise tracking works
AR-154,Accounts Receivable,Collections,Dispute Tracking,Track and resolve customer disputes,High,High,Not Started,AR-152,7,,Not Started,Not Started,Yes,Dispute resolution,Tracking works
AR-155,Accounts Receivable,Collections,Collections Dashboard,Collections workbench and KPIs,Medium,High,Not Started,AR-150,8,,Not Started,Not Started,Yes,Collections visibility,Dashboard functional
AR-156,Accounts Receivable,Collections,Payment Plans,Setup installment payment plans,Medium,High,Not Started,AR-001,7,,Not Started,Not Started,Yes,Payment flexibility,Plans work
AR-160,Accounts Receivable,Adjustments,Account Adjustments,Adjust customer account balances,High,Medium,Not Started,AR-001,6,,Not Started,Not Started,Yes,Balance corrections,Adjustments work
AR-161,Accounts Receivable,Adjustments,Adjustment Reasons,Categorize adjustment reasons,Medium,Low,Not Started,AR-160,3,,Not Started,Not Started,Yes,Adjustment classification,Reasons captured
AR-162,Accounts Receivable,Adjustments,Adjustment Approval,Workflow for adjustment approvals,High,High,Not Started,AR-160 UR-170,7,,Not Started,Not Started,Yes,Controlled adjustments,Approval works
AR-170,Accounts Receivable,Write-offs,Write-off Creation,Write off uncollectible balances,High,Medium,Not Started,AR-001,6,,Not Started,Not Started,Yes,Bad debt management,Write-offs work
AR-171,Accounts Receivable,Write-offs,Write-off Approval,Approval workflow for write-offs,High,High,Not Started,AR-170 UR-170,7,,Not Started,Not Started,Yes,Authorization control,Approval works
