Feature ID,Module,Main Feature,Sub Feature,Description,Priority,Complexity,Status,Dependencies,Estimated Effort (Days),Assigned To,Development Status,Testing Status,AI Test Ready,Notes,Acceptance Criteria
PAY-001,Payroll,Setup,Payroll Configuration,Configure payroll system parameters,Critical,High,Not Started,HCM-001,8,,,Yes,,Pay frequency schedule and processing rules
PAY-002,Payroll,Setup,Payroll Entities,Define payroll legal entities,Critical,Medium,Not Started,GL-001,6,,,Yes,,Tax IDs and entity structure
PAY-003,Payroll,Setup,Pay Groups,Group employees for processing,Critical,Medium,Not Started,PAY-001,5,,,Yes,,Pay groups with schedules
PAY-010,Payroll,Earnings,Earning Codes,Define earning types,Critical,Medium,Not Started,PAY-001,6,,,Yes,,Comprehensive earning code library
PAY-011,Payroll,Earnings,Salary Wage Calc,Calculate gross pay,Critical,High,Not Started,HCM-020,10,,,Yes,,Salary and hourly calculations
PAY-012,Payroll,Earnings,Supplemental Pay,Process bonuses and commissions,High,Medium,Not Started,PAY-011,7,,,Yes,,Supplemental withholding methods
PAY-020,Payroll,Deductions,Deduction Codes,Define deduction types,Critical,Medium,Not Started,PAY-001,6,,,Yes,,Tax benefit and voluntary deductions
PAY-021,Payroll,Deductions,Tax Withholding,Calculate tax withholding,Critical,High,Not Started,PAY-020,12,,,Yes,,Federal state and local tax calculation
PAY-022,Payroll,Deductions,Benefit Deductions,Process benefit deductions,Critical,High,Not Started,PAY-092,9,,,Yes,,Health insurance 401k HSA FSA
PAY-030,Payroll,Garnishments,Garnishment Mgmt,Process garnishments,High,High,Not Started,PAY-020,10,,,Yes,,Court orders and priority rules
PAY-031,Payroll,Garnishments,Child Support,Process child support withholding,High,High,Not Started,PAY-030,8,,,Yes,,Income withholding orders
PAY-040,Payroll,Processing,Payroll Run,Execute payroll calculation,Critical,High,Not Started,PAY-091,12,,,Yes,,Full payroll cycle processing
PAY-041,Payroll,Processing,Off-Cycle Payroll,Process off-cycle payments,High,Medium,Not Started,PAY-040,7,,,Yes,,Exceptions and terminations
PAY-042,Payroll,Processing,Retroactive Processing,Process retro pay adjustments,High,High,Not Started,PAY-040,9,,,Yes,,Backdated changes and corrections
PAY-050,Payroll,Payment,Direct Deposit,Electronic wage payment,Critical,High,Not Started,PAY-040,10,,,Yes,,ACH file generation and transmission
PAY-051,Payroll,Payment,Check Processing,Print and issue payroll checks,High,Medium,Not Started,PAY-040,8,,,Yes,,Check printing and positive pay
PAY-052,Payroll,Payment,Pay Cards,Support payroll debit cards,Medium,Medium,Not Started,PAY-050,6,,,Yes,,Card funding and management
PAY-060,Payroll,Reporting,Pay Statements,Generate employee pay stubs,Critical,Medium,Not Started,PAY-040,7,,,Yes,,Electronic and paper pay stubs
PAY-061,Payroll,Reporting,Payroll Reports,Operational payroll reports,Critical,Medium,Not Started,PAY-040,8,,,Yes,,Registers and summary reports
PAY-062,Payroll,Reporting,Payroll Analytics,Analytics and dashboards,High,Medium,Not Started,PAY-061,8,,,No,,Labor cost and payroll metrics
PAY-070,Payroll,Tax,Tax Filing Remittance,Manage tax obligations,Critical,High,Not Started,PAY-021,11,,,Yes,,941 940 and state returns
PAY-071,Payroll,Tax,W-2 Processing,Generate annual W-2 forms,Critical,High,Not Started,PAY-070,10,,,Yes,,W-2 generation and filing
