Table_ID,Module_ID,Table_Name,Column_Name,Data_Type,Nullable,Default_Value,Description,Column_Category
GL-T001,GL,GL_LEDGERS,LEDGER_ID,NUMBER(15),NOT NULL,,Primary key,PK
GL-T001,GL,GL_LEDGERS,LEDGER_NAME,VARCHAR2(240),NOT NULL,,Ledger name,Business
GL-T001,GL,GL_LEDGERS,LEDGER_CODE,VARCHAR2(30),NOT NULL,,Unique ledger code,Business
GL-T001,GL,GL_LEDGERS,SHORT_NAME,VARCHAR2(100),NULL,,Short name for display,Business
GL-T001,GL,GL_LEDGERS,DESCRIPTION,VARCHAR2(1000),NULL,,Ledger description,Business
GL-T001,GL,GL_LEDGERS,CURRENCY_CODE,VARCHAR2(15),NOT NULL,,Ledger currency,Business
GL-T001,GL,GL_LEDGERS,COA_ID,NUMBER(15),NOT NULL,,Chart of accounts reference,FK
GL-T001,GL,GL_LEDGERS,CALENDAR_ID,NUMBER(15),NOT NULL,,Accounting calendar reference,FK
GL-T001,GL,GL_LEDGERS,LEDGER_TYPE,VARCHAR2(30),NULL,PRIMARY,PRIMARY/SECONDARY/REPORTING,Business
GL-T001,GL,GL_LEDGERS,PERIOD_SET_NAME,VARCHAR2(30),NULL,,Period set for calendar,Business
GL-T001,GL,GL_LEDGERS,ACCOUNTED_PERIOD_TYPE,VARCHAR2(15),NULL,,Period type (Month/Quarter),Business
GL-T001,GL,GL_LEDGERS,ENABLE_AVERAGE_BALANCES_FLAG,VARCHAR2(1),NULL,N,Enable average balance tracking,Business
GL-T001,GL,GL_LEDGERS,ENABLE_BUDGETARY_CONTROL_FLAG,VARCHAR2(1),NULL,N,Enable budget control,Business
GL-T001,GL,GL_LEDGERS,REQUIRE_BUDGET_JOURNALS_FLAG,VARCHAR2(1),NULL,N,Require budget journals,Business
GL-T001,GL,GL_LEDGERS,ENABLE_JE_APPROVAL_FLAG,VARCHAR2(1),NULL,N,Enable journal approval,Business
GL-T001,GL,GL_LEDGERS,CONSOLIDATION_LEDGER_FLAG,VARCHAR2(1),NULL,N,Is consolidation ledger,Business
GL-T001,GL,GL_LEDGERS,TRANSACTION_CALENDAR_ID,NUMBER(15),NULL,,Transaction calendar if different,FK
GL-T001,GL,GL_LEDGERS,LATEST_OPENED_PERIOD_ID,NUMBER(15),NULL,,Latest open period,Business
GL-T001,GL,GL_LEDGERS,LATEST_ENCUMBRANCE_YEAR,NUMBER(4),NULL,,Latest encumbrance year,Business
GL-T001,GL,GL_LEDGERS,SLA_ACCOUNTING_METHOD_CODE,VARCHAR2(30),NULL,,Subledger accounting method,Business
GL-T001,GL,GL_LEDGERS,SLA_ACCOUNTING_METHOD_TYPE,VARCHAR2(30),NULL,,SLA method type,Business
GL-T001,GL,GL_LEDGERS,ENABLE_RECONCILIATION_FLAG,VARCHAR2(1),NULL,N,Enable account reconciliation,Business
GL-T001,GL,GL_LEDGERS,STATUS,VARCHAR2(30),NULL,ACTIVE,ACTIVE/INACTIVE/CLOSED,Business
GL-T001,GL,GL_LEDGERS,ATTRIBUTE_CATEGORY,VARCHAR2(30),NULL,,Descriptive flexfield category,DFF
GL-T001,GL,GL_LEDGERS,ATTRIBUTE1,VARCHAR2(150),NULL,,Descriptive flexfield attribute 1,DFF
GL-T001,GL,GL_LEDGERS,ATTRIBUTE2,VARCHAR2(150),NULL,,Descriptive flexfield attribute 2,DFF
GL-T001,GL,GL_LEDGERS,ATTRIBUTE3,VARCHAR2(150),NULL,,Descriptive flexfield attribute 3,DFF
GL-T001,GL,GL_LEDGERS,ATTRIBUTE4,VARCHAR2(150),NULL,,Descriptive flexfield attribute 4,DFF
GL-T001,GL,GL_LEDGERS,ATTRIBUTE5,VARCHAR2(150),NULL,,Descriptive flexfield attribute 5,DFF
GL-T001,GL,GL_LEDGERS,CREATED_BY,NUMBER(15),NOT NULL,,User who created the record,WHO
GL-T001,GL,GL_LEDGERS,CREATION_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Record creation timestamp,WHO
GL-T001,GL,GL_LEDGERS,LAST_UPDATED_BY,NUMBER(15),NOT NULL,,User who last updated the record,WHO
GL-T001,GL,GL_LEDGERS,LAST_UPDATE_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Last update timestamp,WHO
GL-T001,GL,GL_LEDGERS,LAST_UPDATE_LOGIN,NUMBER(15),NULL,,Last update login session,WHO
GL-T001,GL,GL_LEDGERS,OBJECT_VERSION_NUMBER,NUMBER(9),NOT NULL,1,Optimistic locking version,WHO

GL-T007,GL,GL_JOURNALS,JOURNAL_ID,NUMBER(15),NOT NULL,,Primary key,PK
GL-T007,GL,GL_JOURNALS,LEDGER_ID,NUMBER(15),NOT NULL,,Ledger reference,FK
GL-T007,GL,GL_JOURNALS,BU_ID,NUMBER(15),NOT NULL,,Business unit reference,MultiOrg
GL-T007,GL,GL_JOURNALS,JOURNAL_NAME,VARCHAR2(240),NULL,,Journal batch name,Business
GL-T007,GL,GL_JOURNALS,JOURNAL_NUMBER,VARCHAR2(50),NOT NULL,,Unique journal number,Business
GL-T007,GL,GL_JOURNALS,PERIOD_ID,NUMBER(15),NOT NULL,,Accounting period reference,FK
GL-T007,GL,GL_JOURNALS,JOURNAL_DATE,DATE,NOT NULL,,Journal date,Business
GL-T007,GL,GL_JOURNALS,EFFECTIVE_DATE,DATE,NULL,,Effective date for journal,Business
GL-T007,GL,GL_JOURNALS,CURRENCY_CODE,VARCHAR2(15),NOT NULL,,Journal currency,Business
GL-T007,GL,GL_JOURNALS,CONVERSION_DATE,DATE,NULL,,Currency conversion date,Business
GL-T007,GL,GL_JOURNALS,CONVERSION_RATE,NUMBER(20,10),NULL,,Currency conversion rate,Business
